ID,persfamID,gedcom,xnoteID,eventID,ordernum,secret
485807,F10020,Earlylds,485807,,0,0
485808,F10080,Earlylds,485808,,0,0
485809,F10183,Earlylds,485809,,0,0
486044,F10210,Earlylds,486044,,0,0
485810,F10302,Earlylds,485810,,0,0
486077,F10330,Earlylds,486077,,0,0
486079,F10330,Earlylds,486079,,0,0
486080,F10330,Earlylds,486080,,0,0
485811,F10413,Earlylds,485811,,0,0
485812,F10414,Earlylds,485812,,0,0
485813,F10797,Earlylds,485813,,0,0
485814,F10841,Earlylds,485814,,0,0
485815,F11012,Earlylds,485815,,0,0
485700,F1113,Earlylds,485700,,0,0
485816,F11199,Earlylds,485816,,0,0
485817,F11240,Earlylds,485817,,0,0
485818,F11269,Earlylds,485818,,0,0
486042,F11284,Earlylds,486042,,0,0
485819,F11319,Earlylds,485819,,0,0
485820,F11453,Earlylds,485820,,0,0
485821,F11559,Earlylds,485821,,0,0
485822,F11580,Earlylds,485822,,0,0
485823,F11605,Earlylds,485823,,0,0
485824,F11635,Earlylds,485824,,0,0
485701,F1170,Earlylds,485701,,0,0
485825,F11743,Earlylds,485825,,0,0
485826,F11753,Earlylds,485826,,0,0
485827,F11786,Earlylds,485827,,0,0
485828,F11907,Earlylds,485828,,0,0
485829,F11908,Earlylds,485829,,0,0
485830,F11923,Earlylds,485830,,0,0
485831,F12290,Earlylds,485831,,0,0
485832,F12308,Earlylds,485832,,0,0
485833,F12494,Earlylds,485833,,0,0
485834,F12560,Earlylds,485834,,0,0
485835,F12639,Earlylds,485835,,0,0
486072,F12651,Earlylds,486072,,0,0
485836,F12726,Earlylds,485836,,0,0
485702,F1304,Earlylds,485702,,0,0
485837,F13135,Earlylds,485837,,0,0
485838,F13138,Earlylds,485838,,0,0
485839,F13262,Earlylds,485839,,0,0
485840,F13272,Earlylds,485840,,0,0
485703,F1331,Earlylds,485703,,0,0
485841,F13360,Earlylds,485841,,0,0
485842,F13476,Earlylds,485842,,0,0
485843,F13635,Earlylds,485843,,0,0
485844,F13768,Earlylds,485844,,0,0
485845,F13882,Earlylds,485845,,0,0
485846,F14111,Earlylds,485846,,0,0
485847,F14215,Earlylds,485847,,0,0
485687,F143,Earlylds,485687,,0,0
485704,F1440,Earlylds,485704,,0,0
485848,F14480,Earlylds,485848,,0,0
485849,F14586,Earlylds,485849,,0,0
485850,F14678,Earlylds,485850,,0,0
485851,F14699,Earlylds,485851,,0,0
485852,F14702,Earlylds,485852,,0,0
485853,F14748,Earlylds,485853,,0,0
485854,F14955,Earlylds,485854,,0,0
485855,F15116,Earlylds,485855,,0,0
485856,F15214,Earlylds,485856,,0,0
485857,F15241,Earlylds,485857,,0,0
485858,F15547,Earlylds,485858,,0,0
485859,F15803,Earlylds,485859,,0,0
485860,F15872,Earlylds,485860,,0,0
485705,F1594,Earlylds,485705,,0,0
485861,F16020,Earlylds,485861,,0,0
485862,F16038,Earlylds,485862,,0,0
697278,F160397,Earlylds,697278,,0,0
697279,F160547,Earlylds,697279,,0,0
697280,F160604,Earlylds,697280,,0,0
697281,F160610,Earlylds,697281,,0,0
697282,F160621,Earlylds,697282,,0,0
697283,F160648,Earlylds,697283,,0,0
697284,F160650,Earlylds,697284,,0,0
697285,F160660,Earlylds,697285,,0,0
697286,F160661,Earlylds,697286,,0,0
697287,F160743,Earlylds,697287,,0,0
697288,F160745,Earlylds,697288,,0,0
697289,F160791,Earlylds,697289,,0,0
697290,F160796,Earlylds,697290,,0,0
697291,F160815,Earlylds,697291,,0,0
697292,F160826,Earlylds,697292,,0,0
697293,F160871,Earlylds,697293,,0,0
697294,F160872,Earlylds,697294,,0,0
697295,F160873,Earlylds,697295,,0,0
697296,F160874,Earlylds,697296,,0,0
697297,F160877,Earlylds,697297,,0,0
485706,F1609,Earlylds,485706,,0,0
486082,F16099,Earlylds,486082,,0,0
486083,F16099,Earlylds,486083,,0,0
485863,F16175,Earlylds,485863,,0,0
485688,F162,Earlylds,485688,,0,0
485864,F16480,Earlylds,485864,,0,0
485865,F16555,Earlylds,485865,,0,0
485866,F16741,Earlylds,485866,,0,0
485867,F16778,Earlylds,485867,,0,0
485868,F17117,Earlylds,485868,,0,0
485869,F17185,Earlylds,485869,,0,0
485870,F17322,Earlylds,485870,,0,0
485707,F1740,Earlylds,485707,,0,0
485871,F17643,Earlylds,485871,,0,0
485872,F17795,Earlylds,485872,,0,0
485708,F1782,Earlylds,485708,,0,0
485873,F17837,Earlylds,485873,,0,0
485874,F18434,Earlylds,485874,,0,0
485709,F1853,Earlylds,485709,,0,0
485710,F1866,Earlylds,485710,,0,0
485875,F18810,Earlylds,485875,,0,0
485876,F18866,Earlylds,485876,,0,0
485877,F18928,Earlylds,485877,,0,0
485878,F18948,Earlylds,485878,,0,0
485879,F19237,Earlylds,485879,,0,0
485880,F19494,Earlylds,485880,,0,0
485881,F19757,Earlylds,485881,,0,0
485711,F1977,Earlylds,485711,,0,0
486068,F19783,Earlylds,486068,,0,0
485882,F19807,Earlylds,485882,,0,0
485883,F19823,Earlylds,485883,,0,0
485884,F19826,Earlylds,485884,,0,0
485885,F19851,Earlylds,485885,,0,0
485886,F19866,Earlylds,485886,,0,0
485887,F19960,Earlylds,485887,,0,0
485888,F19965,Earlylds,485888,,0,0
485889,F19966,Earlylds,485889,,0,0
485890,F19971,Earlylds,485890,,0,0
485891,F19975,Earlylds,485891,,0,0
485892,F19977,Earlylds,485892,,0,0
485893,F19979,Earlylds,485893,,0,0
485894,F19980,Earlylds,485894,,0,0
485895,F19981,Earlylds,485895,,0,0
485896,F19982,Earlylds,485896,,0,0
485897,F19988,Earlylds,485897,,0,0
485898,F19998,Earlylds,485898,,0,0
485991,F20007,Earlylds,485991,SLGS,0,0
486008,F20023,Earlylds,486008,,0,0
486039,F20070,Earlylds,486039,,0,0
486040,F20070,Earlylds,486040,,0,0
486043,F20081,Earlylds,486043,,0,0
486045,F20085,Earlylds,486045,,0,0
486047,F20096,Earlylds,486047,,0,0
486056,F20116,Earlylds,486056,,0,0
486057,F20116,Earlylds,486057,,0,0
486066,F20135,Earlylds,486066,,0,0
486067,F20135,Earlylds,486067,,0,0
486101,F20189,Earlylds,486101,,0,0
486125,F20211,Earlylds,486125,,0,0
486127,F20213,Earlylds,486127,,0,0
486129,F20214,Earlylds,486129,,0,0
486128,F20214,Earlylds,486128,,0,0
486130,F20216,Earlylds,486130,,0,0
486131,F20217,Earlylds,486131,,0,0
486132,F20218,Earlylds,486132,,0,0
486133,F20218,Earlylds,486133,,0,0
485712,F2026,Earlylds,485712,,0,0
674296,F20405,Earlylds,674296,,0,0
674297,F20473,Earlylds,674297,,0,0
674298,F20484,Earlylds,674298,,0,0
674299,F20508,Earlylds,674299,,0,0
485713,F2054,Earlylds,485713,,0,0
674300,F20554,Earlylds,674300,,0,0
674301,F20593,Earlylds,674301,,0,0
674302,F20662,Earlylds,674302,,0,0
674303,F20734,Earlylds,674303,,0,0
674304,F20877,Earlylds,674304,,0,0
674305,F20883,Earlylds,674305,,0,0
674306,F20910,Earlylds,674306,,0,0
674307,F20981,Earlylds,674307,,0,0
674308,F21002,Earlylds,674308,,0,0
674309,F21117,Earlylds,674309,,0,0
674310,F21131,Earlylds,674310,,0,0
674311,F21182,Earlylds,674311,,0,0
674312,F21199,Earlylds,674312,,0,0
674313,F21308,Earlylds,674313,,0,0
674314,F21327,Earlylds,674314,,0,0
674315,F21398,Earlylds,674315,,0,0
674316,F21421,Earlylds,674316,,0,0
674317,F21462,Earlylds,674317,,0,0
674318,F21468,Earlylds,674318,,0,0
674319,F21574,Earlylds,674319,,0,0
674320,F21690,Earlylds,674320,,0,0
674321,F21733,Earlylds,674321,,0,0
674322,F21772,Earlylds,674322,,0,0
674323,F21891,Earlylds,674323,,0,0
674324,F22023,Earlylds,674324,,0,0
485714,F2204,Earlylds,485714,,0,0
674325,F22063,Earlylds,674325,,0,0
674326,F22212,Earlylds,674326,,0,0
674327,F22258,Earlylds,674327,,0,0
674328,F22392,Earlylds,674328,,0,0
674329,F22463,Earlylds,674329,,0,0
674330,F22470,Earlylds,674330,,0,0
485715,F2275,Earlylds,485715,,0,0
485716,F2276,Earlylds,485716,,0,0
674331,F22760,Earlylds,674331,,0,0
485717,F2279,Earlylds,485717,,0,0
674332,F22965,Earlylds,674332,,0,0
674333,F22993,Earlylds,674333,,0,0
674334,F23041,Earlylds,674334,,0,0
674335,F23109,Earlylds,674335,,0,0
674336,F23194,Earlylds,674336,,0,0
674337,F23200,Earlylds,674337,,0,0
674338,F23230,Earlylds,674338,,0,0
674339,F23288,Earlylds,674339,,0,0
674340,F23291,Earlylds,674340,,0,0
674341,F23297,Earlylds,674341,,0,0
674342,F23314,Earlylds,674342,,0,0
674343,F23435,Earlylds,674343,,0,0
674344,F23459,Earlylds,674344,,0,0
485718,F2347,Earlylds,485718,,0,0
674345,F23537,Earlylds,674345,,0,0
674346,F23602,Earlylds,674346,,0,0
